Rank,Release Group,Worldwide,Domestic,%,Foreign,%
116,Olympic Dreams,"$29,450","$29,450",100%,-,-
117,Buffaloed,"$29,118","$29,118",100%,-,-
118,Abe,"$28,657",-,-,"$28,657",100%
119,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
120,José,"$26,563","$26,563",100%,-,-
121,Unsubscribe,"$25,488","$25,488",100%,-,-
122,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
123,Heart of Africa,"$24,139","$24,139",100%,-,-
124,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
125,Premature,"$23,071","$23,071",100%,-,-
126,L'Innocente,"$22,549","$22,549",100%,-,-
127,Never Too Late,"$21,915",-,-,"$21,915",100%
128,Young Ahmed Domestic,"$21,291","$21,291",100%,-,-
129,Lore,"$20,006","$20,006",100%,-,-
130,Max Winslow and the House of Secrets,"$18,750","$18,750",100%,-,-
131,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
132,Made in Hong Kong,"$17,255","$17,255",100%,-,-
133,Advocate,"$16,942","$16,942",100%,-,-
134,Straight Up,"$16,080","$16,080",100%,-,-
135,The Shining 40th Anniversary,"$15,414",-,-,"$15,414",100%
136,"I Was at Home, But","$14,078","$14,078",100%,-,-
137,Powerbomb,"$11,319","$11,319",100%,-,-
138,Lost in America,"$11,301","$11,301",100%,-,-
139,You Go to My Head,"$10,682","$10,682",100%,-,-
140,Foosballers,"$9,966","$9,966",100%,-,-
141,Just One More Kiss,"$9,130","$9,130",100%,-,-
142,Inside the Rain,"$8,140","$8,140",100%,-,-
143,The Wave,"$8,101","$8,101",100%,-,-
144,Afterward,"$6,477","$6,477",100%,-,-
145,Juvenile Delinquents,"$6,312","$6,312",100%,-,-
146,The Other Lamb,"$6,024","$6,024",100%,-,-
147,Human Capital,"$4,331","$4,331",100%,-,-
148,King's Gambit,"$3,816","$3,816",100%,-,-
149,The Roads Not Taken,"$3,518","$3,518",100%,-,-
150,Sex and the Future,"$3,502","$3,502",100%,-,-
151,Valley Girl,"$3,080",-,-,"$3,080",100%
152,Guest Artist,"$2,790","$2,790",100%,-,-
153,Moondance,"$2,371","$2,371",100%,-,-
154,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
155,Goldie,"$2,302","$2,302",100%,-,-
156,Gul Makai,"$2,035",-,-,"$2,035",100%
157,The Fox Hunter,"$1,577","$1,577",100%,-,-
158,Hai Tang Hong,"$1,107","$1,107",100%,-,-
159,The Transcendents,"$1,090","$1,090",100%,-,-
160,Inception 10th Anniversary re-release,$387,-,-,$387,100%
161,Spaceship Earth,$168,-,-,$168,100%
