Rank,Release Group,Worldwide,Domestic,%,Foreign,%
99,Lucky Grandma,"$102,000","$102,000",100%,-,-
100,First Cow,"$101,068","$101,068",100%,-,-
101,First Lady,"$93,298","$93,298",100%,-,-
102,Miss Juneteenth,"$92,349","$92,349",100%,-,-
103,Irresistible,"$90,557",-,-,"$90,557",100%
104,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
105,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
106,How to Build a Girl,"$70,632","$70,632",100%,-,-
107,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
108,A Simple Wedding,"$54,415","$54,415",100%,-,-
109,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
110,Shirley,"$50,354",-,-,"$50,354",100%
111,VHYes,"$47,037","$47,037",100%,-,-
112,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
113,Babyteeth,"$46,014","$4,507",9.8%,"$41,507",90.2%
114,Saint Frances,"$44,330","$44,330",100%,-,-
115,Three Christs,"$36,723","$36,723",100%,-,-
116,Tread,"$36,527","$36,527",100%,-,-
117,Waiting for Anya,"$36,404",-,-,"$36,404",100%
118,After Parkland,"$30,444","$30,444",100%,-,-
119,Olympic Dreams,"$29,450","$29,450",100%,-,-
120,Buffaloed,"$29,118","$29,118",100%,-,-
121,Abe,"$28,657",-,-,"$28,657",100%
122,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
123,José,"$26,563","$26,563",100%,-,-
124,Unsubscribe,"$25,488","$25,488",100%,-,-
125,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
126,Heart of Africa,"$24,139","$24,139",100%,-,-
127,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
128,Premature,"$23,071","$23,071",100%,-,-
129,L'Innocente,"$22,549","$22,549",100%,-,-
130,Never Too Late,"$21,915",-,-,"$21,915",100%
131,Young Ahmed Domestic,"$21,291","$21,291",100%,-,-
132,Lore,"$20,006","$20,006",100%,-,-
133,Max Winslow and the House of Secrets,"$18,750","$18,750",100%,-,-
134,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
135,Made in Hong Kong,"$17,255","$17,255",100%,-,-
136,Advocate,"$16,942","$16,942",100%,-,-
137,Straight Up,"$16,080","$16,080",100%,-,-
138,The Shining 40th Anniversary,"$15,960",-,-,"$15,960",100%
139,"I Was at Home, But","$14,078","$14,078",100%,-,-
140,Powerbomb,"$11,319","$11,319",100%,-,-
141,Lost in America,"$11,301","$11,301",100%,-,-
142,You Go to My Head,"$10,682","$10,682",100%,-,-
143,Foosballers,"$9,966","$9,966",100%,-,-
144,Just One More Kiss,"$9,130","$9,130",100%,-,-
145,Inside the Rain,"$8,140","$8,140",100%,-,-
146,The Wave,"$8,101","$8,101",100%,-,-
147,Human Capital,"$6,596","$6,596",100%,-,-
148,Afterward,"$6,477","$6,477",100%,-,-
149,Juvenile Delinquents,"$6,312","$6,312",100%,-,-
150,The Other Lamb,"$6,024","$6,024",100%,-,-
151,Guest Artist,"$4,011","$4,011",100%,-,-
152,King's Gambit,"$3,816","$3,816",100%,-,-
153,The Roads Not Taken,"$3,518","$3,518",100%,-,-
154,Sex and the Future,"$3,502","$3,502",100%,-,-
155,Valley Girl,"$3,080",-,-,"$3,080",100%
156,Moondance,"$2,371","$2,371",100%,-,-
157,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
158,Goldie,"$2,302","$2,302",100%,-,-
159,Gul Makai,"$2,035",-,-,"$2,035",100%
160,The Fox Hunter,"$1,577","$1,577",100%,-,-
161,Hai Tang Hong,"$1,107","$1,107",100%,-,-
162,The Transcendents,"$1,090","$1,090",100%,-,-
163,Inception 10th Anniversary re-release,$387,-,-,$387,100%
164,Spaceship Earth,$168,-,-,$168,100%
