Rank,Release Group,Worldwide,Domestic,%,Foreign,%
618,Shed of the Dead,"$38,901","$38,901",100%,-,-
619,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
620,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
621,The Quiet One,"$37,010","$37,010",100%,-,-
622,The Death of Dick Long,"$36,856","$36,856",100%,-,-
623,Loro,"$35,613","$35,613",100%,-,-
624,Ága,"$35,178","$35,178",100%,-,-
625,Killer Unicorn,"$33,901","$33,901",100%,-,-
626,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
627,Redoubt,"$33,155","$33,155",100%,-,-
628,An Acceptable Loss,"$32,427","$32,427",100%,-,-
629,10E,"$32,413","$32,413",100%,-,-
630,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%
631,Desolation Center,"$32,016","$32,016",100%,-,-
632,Gift,"$31,588","$31,588",100%,-,-
633,The Cat Rescuers,"$31,540","$31,540",100%,-,-
634,Buddy,"$31,203","$31,203",100%,-,-
635,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
636,Los Reyes,"$30,418","$30,418",100%,-,-
637,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
638,The Perfect Race,"$29,644","$29,644",100%,-,-
639,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
640,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
641,The Load,"$28,410","$28,410",100%,-,-
642,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
643,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
644,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
645,Wrestle,"$26,597","$26,597",100%,-,-
646,Donnybrook,"$26,284","$26,284",100%,-,-
647,Light from Light,"$24,808","$24,808",100%,-,-
648,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%
649,Hyenas,"$24,672","$24,672",100%,-,-
650,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
651,Chasing Einstein,"$24,057","$24,057",100%,-,-
652,Steven Universe: The Movie,"$24,012",-,-,"$24,012",100%
653,Robert the Bruce,"$23,425",-,-,"$23,425",100%
654,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
655,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
656,Wicked Witches,"$21,600","$21,600",100%,-,-
657,Round of Your Life,"$20,941","$20,941",100%,-,-
658,The All Americans,"$20,324","$20,324",100%,-,-
659,General Magic,"$20,046","$20,046",100%,-,-
660,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
661,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
662,Before Stonewall,"$18,724","$18,724",100%,-,-
663,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
664,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
665,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
666,Chained for Life,"$17,431","$17,431",100%,-,-
667,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
668,Virginia Minnesota,"$16,118","$16,118",100%,-,-
