Rank,Release Group,Worldwide,Domestic,%,Foreign,%
525,4,"$20,523","$20,523",100%,-,-
526,London,"$20,361","$20,361",100%,-,-
527,Words of My Perfect Teacher,"$20,318","$20,318",100%,-,-
528,State of Fear,"$20,055","$20,055",100%,-,-
529,The Ground Truth,"$20,013","$20,013",100%,-,-
530,Favela Rising,"$19,781","$19,781",100%,-,-
531,Invisible Waves,"$19,293",-,-,"$19,293",100%
532,Suicide Killers,"$18,239","$18,239",100%,-,-
533,Cruel World,"$17,986","$17,986",100%,-,-
534,20 Centimeters 2006 Re-release,"$17,632","$6,635",37.6%,"$10,997",62.4%
535,Film Geek,"$17,341","$17,341",100%,-,-
536,Ever Again,"$17,304","$17,304",100%,-,-
537,April's Shower,"$16,377","$16,377",100%,-,-
538,Captive,"$16,259","$16,259",100%,-,-
539,I Like Killing Flies,"$16,214","$16,214",100%,-,-
540,Matthew Barney: No Restraint,"$16,136","$16,136",100%,-,-
541,Land of the Blind,"$15,180","$5,244",34.5%,"$9,936",65.5%
542,Hannari: Geisha Modern,"$14,974","$14,974",100%,-,-
543,Shem,"$14,804","$14,804",100%,-,-
544,The Devil's Miner,"$14,289","$14,289",100%,-,-
545,The Architect,"$13,737","$13,737",100%,-,-
546,Who the #$&% Is Jackson Pollock?,"$13,710","$13,710",100%,-,-
547,One Last Thing...,"$13,334","$13,334",100%,-,-
548,The World According to Shorts,"$12,908","$12,908",100%,-,-
549,I Trust You to Kill Me,"$12,854","$12,854",100%,-,-
550,Christmas at Maxwell's,"$12,781","$12,781",100%,-,-
551,Autumn,"$12,655","$12,655",100%,-,-
552,"The Photographer, His Wife, Her Lover","$12,546","$12,546",100%,-,-
553,3 Needles,"$12,327",-,-,"$12,327",100%
554,Woman Is the Future of Man 2006 Re-release,"$11,807","$11,807",100%,-,-
555,Dead Man's Shoes 2006 Re-release,"$11,777","$6,408",54.4%,"$5,369",45.6%
556,Waltzing Anna,"$11,455","$11,455",100%,-,-
557,Live Freaky Die Freaky,"$11,290","$11,290",100%,-,-
558,The Conrad Boys,"$11,001","$11,001",100%,-,-
559,White Rainbow,"$10,529","$10,529",100%,-,-
560,Forgiving Dr. Mengele,"$10,403","$10,403",100%,-,-
561,...So Goes the Nation,"$10,337","$10,337",100%,-,-
562,Zindaggi Rocks,"$10,172","$10,172",100%,-,-
563,Sólo con Tu Pareja,"$9,915","$9,915",100%,-,-
564,Blackballed: The Bobby Dukes Story,"$9,528","$9,528",100%,-,-
565,Crazy Like a Fox,"$9,376","$9,376",100%,-,-
566,Rolling Family 2006 Re-release,"$9,291","$9,291",100%,-,-
567,Illusion,"$9,261","$9,261",100%,-,-
568,Fall to Grace,"$8,043","$8,043",100%,-,-
569,Coastlines,"$7,883","$7,883",100%,-,-
570,Zerophilia,"$7,763","$7,763",100%,-,-
571,Kill Your Idols,"$7,753","$7,753",100%,-,-
572,El sueño del regreso,"$7,668","$7,668",100%,-,-
573,The Whore's Son,"$7,656","$7,656",100%,-,-
